TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
934,tt0048021,movie,Du rififi chez les hommes,1955-04-13T00:00:00Z,,,7.774,5.0,2016-08-28T00:00:00Z
839,tt0067023,movie,Duel,1971-11-13T00:00:00Z,,,7.418,7.0,2019-05-17T00:00:00Z
438631,tt1160419,movie,Dune,2021-09-15T00:00:00Z,,,7.777,10.0,2021-10-24T00:00:00Z
693134,tt15239678,movie,Dune: Part Two,2024-02-27T00:00:00Z,,,8.13,10.0,2024-03-03T00:00:00Z
374720,tt5013056,movie,Dunkirk,2017-07-19T00:00:00Z,,,7.449,9.0,2017-07-22T00:00:00Z
601,tt0083866,movie,E.T. the Extra-Terrestrial,1982-06-11T00:00:00Z,,,7.511,8.0,2019-09-26T00:00:00Z
137113,tt1631867,movie,Edge of Tomorrow,2014-05-27T00:00:00Z,,,7.634,8.0,2015-11-25T00:00:00Z
162,tt0099487,movie,Edward Scissorhands,1990-12-07T00:00:00Z,,,7.718,8.0,2016-12-04T00:00:00Z
489925,tt7014006,movie,Eighth Grade,2018-01-19T00:00:00Z,,,7.156,8.0,2018-08-06T00:00:00Z
1417,tt0457430,movie,El laberinto del fauno,2006-10-11T00:00:00Z,,,7.757,9.0,2019-05-10T00:00:00Z
614934,tt3704428,movie,Elvis,2022-06-22T00:00:00Z,,,7.468,8.0,2023-04-30T00:00:00Z
68724,tt1535108,movie,Elysium,2013-08-07T00:00:00Z,,,6.513,8.0,2016-05-14T00:00:00Z
568124,tt2953050,movie,Encanto,2021-10-13T00:00:00Z,,,7.572,8.0,2022-02-04T00:00:00Z
77016,tt1855199,movie,End of Watch,2012-09-20T00:00:00Z,,,7.349,6.0,2023-07-17T00:00:00Z
181886,tt2316411,movie,Enemy,2014-03-14T00:00:00Z,,,6.849,8.0,2018-12-16T00:00:00Z
38,tt0338013,movie,Eternal Sunshine of the Spotless Mind,2004-03-19T00:00:00Z,,,8.091,5.0,2016-05-26T00:00:00Z
174772,tt2051879,movie,Europa Report,2013-06-27T00:00:00Z,,,6.282,4.0,2025-07-19T00:00:00Z
545611,tt6710474,movie,Everything Everywhere All at Once,2022-03-24T00:00:00Z,,,7.72,10.0,2022-05-29T00:00:00Z
264660,tt0470752,movie,Ex Machina,2015-01-21T00:00:00Z,,,7.573,8.0,2018-07-26T00:00:00Z
333352,tt2057392,movie,Eye in the Sky,2015-09-07T00:00:00Z,,,7.005,6.0,2016-11-18T00:00:00Z
345,tt0120663,movie,Eyes Wide Shut,1999-07-16T00:00:00Z,,,7.485,7.0,2017-04-18T00:00:00Z
911430,tt16311594,movie,F1,2025-06-25T00:00:00Z,,,7.768,7.0,2025-06-24T00:00:00Z
10315,tt0432283,movie,Fantastic Mr. Fox,2009-10-14T00:00:00Z,,,7.813,8.0,2016-04-10T00:00:00Z
275,tt0116282,movie,Fargo,1996-03-08T00:00:00Z,,,7.847,9.0,2016-03-24T00:00:00Z
365620,tt3758542,movie,Ferrari,2023-12-14T00:00:00Z,,,6.373,6.0,2024-01-01T00:00:00Z
550,tt0137523,movie,Fight Club,1999-10-15T00:00:00Z,,,8.438,9.0,2015-01-20T00:00:00Z
12,tt0266543,movie,Finding Nemo,2003-05-30T00:00:00Z,,,7.817,8.0,2016-09-29T00:00:00Z
913823,tt16227014,movie,Fire of Love,2022-07-06T00:00:00Z,,,7.54,7.0,2024-09-08T00:00:00Z
369972,tt1213641,movie,First Man,2018-10-10T00:00:00Z,,,7.043,8.0,2018-10-15T00:00:00Z
359724,tt1950186,movie,Ford v Ferrari,2019-11-13T00:00:00Z,,,8.005,8.0,2019-12-02T00:00:00Z
13,tt0109830,movie,Forrest Gump,1994-06-23T00:00:00Z,,,8.462,10.0,2015-12-06T00:00:00Z
5,tt0113101,movie,Four Rooms,1995-12-09T00:00:00Z,,,5.889,8.0,2024-09-15T00:00:00Z
87492,tt1100089,movie,Foxcatcher,2014-11-14T00:00:00Z,,,6.652,4.0,2015-01-19T00:00:00Z
171372,tt1605717,movie,Frank,2014-05-09T00:00:00Z,,,6.858,6.0,2022-01-18T00:00:00Z
33914,tt0087291,movie,Frankenweenie,1984-12-14T00:00:00Z,,,6.946,8.0,2018-01-23T00:00:00Z
515042,tt7775622,movie,Free Solo,2018-09-28T00:00:00Z,,,7.908,6.0,2020-01-26T00:00:00Z
657,tt0057076,movie,From Russia with Love,1963-10-10T00:00:00Z,,,7.066,8.0,2019-03-13T00:00:00Z
11499,tt0870111,movie,Frost/Nixon,2008-10-15T00:00:00Z,,,7.277,8.0,2016-10-12T00:00:00Z
600,tt0093058,movie,Full Metal Jacket,1987-06-26T00:00:00Z,,,8.121,8.0,2020-06-05T00:00:00Z
8461,tt0808279,movie,Funny Games,2008-03-14T00:00:00Z,,,6.556,8.0,2016-03-19T00:00:00Z
786892,tt12037194,movie,Furiosa: A Mad Max Saga,2024-05-22T00:00:00Z,,,7.455,8.0,2024-05-27T00:00:00Z
228150,tt2713180,movie,Fury,2014-10-15T00:00:00Z,,,7.54,7.0,2016-09-30T00:00:00Z
82682,tt1321870,movie,Gangster Squad,2013-01-09T00:00:00Z,,,6.377,7.0,2016-02-26T00:00:00Z
782,tt0119177,movie,Gattaca,1997-07-09T00:00:00Z,,,7.565,8.0,2016-09-29T00:00:00Z
18292,tt0262432,movie,George Washington,2000-10-27T00:00:00Z,,,6.64,5.0,2024-08-29T00:00:00Z
